isolate,n_genes,ST,Phylogroup
esc_ja4090aa_as,293,11,E
esc_ja4092aa_as,293,11,E
esc_ja4094aa_as,292,11,E
esc_ja4095aa_as,295,11,E
esc_ja4096aa_as,295,11,E
esc_ja4098aa_as,295,11,E
esc_ja4099aa_as,295,11,E
esc_ja4102aa_as,293,11,E
esc_ja4103aa_as,291,11,E
esc_ja4105aa_as,295,11,E
esc_ja4106aa_as,295,11,E
esc_ja4107aa_as,292,11,E
esc_ja4108aa_as,295,11,E
esc_ja4109aa_as,292,11,E
esc_ja4110aa_as,294,11,E
esc_ja4114aa_as,297,11,E
esc_ja4115aa_as,293,11,E
esc_ja4116aa_as,294,11,E
esc_ja4117aa_as,294,11,E
esc_ja4119aa_as,295,11,E
esc_ja4120aa_as,295,11,E
esc_ja4121aa_as,291,11,E
esc_ja4123aa_as,293,11,E
esc_ja4126aa_as,293,11,E
esc_ja4357aa_as,296,11,E
esc_ja4360aa_as,289,11,E
esc_ja4363aa_as,295,11,E
esc_ja4365aa_as,299,11,E
esc_ja4367aa_as,295,11,E
esc_ja4370aa_as,291,11,E
esc_ja4377aa_as,293,11,E
esc_ja4379aa_as,295,11,E
esc_ja4380aa_as,296,11,E
esc_ja4381aa_as,295,11,E
esc_ja4383aa_as,294,11,E
esc_ja4384aa_as,299,11,E
esc_ja4386aa_as,293,11,E
esc_ja4390aa_as,292,11,E
esc_ja4391aa_as,292,11,E
esc_ja4392aa_as,293,11,E
esc_ja4394aa_as,293,11,E
esc_ja4395aa_as,293,11,E
esc_ja4396aa_as,295,11,E
esc_ja4398aa_as,290,11,E
esc_ja4403aa_as,296,11,E
esc_ja4405aa_as,295,11,E
esc_ja4406aa_as,296,11,E
esc_ja4407aa_as,293,11,E
esc_ja4408aa_as,295,11,E
esc_ja4410aa_as,294,11,E
esc_ja4412aa_as,293,11,E
esc_ja4413aa_as,295,11,E
esc_ja4414aa_as,297,11,E
esc_ja4415aa_as,293,11,E
esc_ja4417aa_as,295,11,E
esc_ja4420aa_as,293,11,E
esc_ja4422aa_as,294,11,E
esc_ja4423aa_as,294,11,E
esc_ja4424aa_as,300,11,E
esc_ja4425aa_as,293,11,E
esc_ja4427aa_as,296,11,E
esc_ja4428aa_as,291,11,E
esc_ja4433aa_as,298,11,E
esc_ja4434aa_as,294,11,E
esc_ja4436aa_as,295,1804,E
esc_ja4439aa_as,295,11,E
esc_ja4440aa_as,294,11,E
esc_ja4441aa_as,293,11,E
esc_ja4442aa_as,293,11,E
esc_ja4448aa_as,295,11,E
esc_ja4449aa_as,293,11,E
esc_ja4452aa_as,297,11,E
esc_ja4453aa_as,294,11,E
esc_ja4454aa_as,291,11,E
esc_ja4460aa_as,295,11,E
esc_ja4464aa_as,293,11,E
esc_ja4465aa_as,295,11,E
esc_ja4471aa_as,293,11,E
esc_ja4472aa_as,293,11,E
esc_ja4477aa_as,293,11,E
esc_ja4478aa_as,292,11,E
esc_ja4480aa_as,295,11,E
esc_ja4483aa_as,295,11,E
esc_ja4484aa_as,293,11,E
esc_ja4485aa_as,291,11,E
esc_ja4486aa_as,294,11,E
esc_ja4489aa_as,294,11,E
esc_ja4490aa_as,292,11,E
esc_ja4491aa_as,292,11,E
esc_ja4492aa_as,295,11,E
esc_ja4493aa_as,295,11,E
esc_ja4497aa_as,296,11,E
esc_ja4498aa_as,291,11,E
esc_ja4500aa_as,295,11,E
esc_ja4501aa_as,293,11,E
esc_ja4502aa_as,295,11,E
esc_ja4504aa_as,297,11,E
esc_ja4505aa_as,296,11,E
esc_ja4506aa_as,295,11,E
esc_ja4507aa_as,295,2966,E
esc_ja4509aa_as,293,11,E
esc_ja4510aa_as,295,11,E
esc_ja4512aa_as,293,11,E
esc_ja4514aa_as,292,11,E
esc_ja4515aa_as,292,11,E
esc_ja4517aa_as,293,11,E
esc_ja4518aa_as,293,11,E
esc_ja4519aa_as,294,11,E
esc_ja4520aa_as,296,11,E
esc_ja4521aa_as,291,11,E
esc_ja4528aa_as,291,11,E
esc_ja4530aa_as,294,11,E
esc_ja4531aa_as,293,11,E
esc_ja4533aa_as,294,11,E
esc_ja4534aa_as,295,11,E
esc_ja4537aa_as,297,11,E
esc_ja4539aa_as,293,11,E
esc_ja4545aa_as,296,11,E
esc_ja4548aa_as,294,11,E
esc_ja4549aa_as,293,11,E
esc_ja4551aa_as,295,11,E
esc_ja4552aa_as,294,11,E
esc_ja4553aa_as,300,11,E
esc_ja4554aa_as,300,11,E
esc_ja4556aa_as,289,11,E
esc_ja4557aa_as,298,11,E
esc_ja4559aa_as,294,11,E
esc_ja4561aa_as,295,11,E
esc_ja4562aa_as,293,11,E
esc_ja4564aa_as,293,11,E
esc_ja4565aa_as,294,11,E
esc_ja4568aa_as,293,11,E
esc_ja4570aa_as,295,11,E
esc_ja4577aa_as,293,11,E
esc_ja4578aa_as,297,11,E
esc_ja4582aa_as,297,11,E
esc_ja4583aa_as,289,11,E
esc_ja4586aa_as,293,11,E
esc_ja4588aa_as,291,11,E
esc_ja4593aa_as,295,11,E
esc_ja4594aa_as,295,11,E
esc_ja4595aa_as,297,11,E
esc_ja4599aa_as,294,1804,E
esc_ja4602aa_as,291,11,E
esc_ja4603aa_as,297,11,E
esc_ja4606aa_as,295,11,E
esc_ja4610aa_as,298,11,E
esc_ja4611aa_as,295,11,E
esc_ja4614aa_as,293,11,E
esc_ja4616aa_as,293,11,E
esc_ja4619aa_as,292,11,E
esc_ja4621aa_as,295,11,E
esc_ja4623aa_as,293,11,E
esc_ja4627aa_as,294,11,E
esc_ja4628aa_as,294,11,E
esc_ja4630aa_as,293,11,E
esc_ja4631aa_as,292,11,E
esc_ja4633aa_as,294,11,E
esc_ja4634aa_as,294,11,E
esc_ja4637aa_as,294,11,E
esc_ja4639aa_as,295,11,E
esc_ja4640aa_as,293,11,E
esc_ja4641aa_as,293,11,E
esc_ja4642aa_as,291,6956,E
esc_ja4644aa_as,293,11,E
esc_ja4645aa_as,292,11,E
esc_ja4646aa_as,294,11,E
esc_ja4648aa_as,295,11,E
esc_ja4649aa_as,293,11,E
esc_ja4651aa_as,294,11,E
esc_ja4654aa_as,291,11,E
esc_ja4656aa_as,293,11,E
esc_ja4659aa_as,297,11,E
esc_ja4660aa_as,296,11,E
esc_ja4662aa_as,297,11,E
esc_ja4663aa_as,294,11,E
esc_ja4666aa_as,294,11,E
esc_ja4668aa_as,294,11,E
esc_ja4669aa_as,292,11,E
esc_ja4670aa_as,295,11,E
esc_ja4671aa_as,292,11,E
esc_ja4672aa_as,296,11,E
esc_ja4673aa_as,294,11,E
esc_ja4674aa_as,294,11,E
esc_ja4675aa_as,294,11,E
esc_ja4676aa_as,297,11,E
esc_ja4677aa_as,295,11,E
esc_ja4678aa_as,295,11,E
esc_ja4679aa_as,294,11,E
esc_ja4681aa_as,295,11,E
esc_ja4682aa_as,293,11,E
esc_ja4685aa_as,294,1825,E
esc_ja4687aa_as,291,11,E
esc_ja4689aa_as,296,11,E
esc_ja4693aa_as,294,11,E
esc_ja4695aa_as,293,11,E
esc_ja4696aa_as,295,11,E
esc_ja4697aa_as,293,11,E
esc_ja4699aa_as,295,11,E
esc_ja4701aa_as,295,11,E
esc_ja4702aa_as,295,11,E
esc_ja4704aa_as,294,7028,E
esc_ja4710aa_as,296,11,E
esc_ja4711aa_as,295,11,E
esc_ja4712aa_as,294,11,E
esc_ja4714aa_as,297,11,E
esc_ja4718aa_as,294,11,E
esc_ja4722aa_as,291,11,E
esc_ja4723aa_as,290,11,E
esc_ja4724aa_as,297,11,E
esc_ja4725aa_as,296,11,E
esc_ja4726aa_as,297,11,E
esc_ja4731aa_as,293,11,E
esc_ja4732aa_as,296,11,E
esc_ja4733aa_as,293,11,E
esc_ja4734aa_as,295,11,E
esc_ja4736aa_as,293,11,E
esc_ja4739aa_as,294,11,E
esc_ja4748aa_as,295,11,E
esc_ja4749aa_as,297,11,E
esc_ja4752aa_as,292,11,E
esc_ja4754aa_as,295,11,E
esc_ja4760aa_as,293,11,E
esc_ja4763aa_as,292,11,E
esc_ja4764aa_as,294,11,E
esc_ja4765aa_as,293,11,E
esc_ja4766aa_as,294,11,E
esc_ja4767aa_as,295,1833,E
esc_ja4773aa_as,297,11,E
esc_ja4776aa_as,288,11,E
esc_ja4778aa_as,294,11,E
esc_ja4783aa_as,303,11,E
esc_ja4784aa_as,296,11,E
esc_ja4786aa_as,297,11,E
esc_ja4789aa_as,295,11,E
esc_ja4790aa_as,297,11,E
esc_ja4794aa_as,292,11,E
esc_ja4795aa_as,293,11,E
esc_ja4796aa_as,291,11,E
esc_ja4802aa_as,293,11,E
esc_ja4804aa_as,295,11,E
esc_ja4807aa_as,297,11,E
esc_ja4808aa_as,298,11,E
esc_ja4809aa_as,294,11,E
esc_ja4810aa_as,294,11,E
esc_ja4811aa_as,294,11,E
esc_ja4818aa_as,291,11,E
esc_ja4820aa_as,289,11,E
esc_ja4822aa_as,290,11,E
esc_ja4825aa_as,294,11,E
esc_ja4828aa_as,291,11,E
esc_ja4830aa_as,297,11,E
esc_ja4832aa_as,295,11,E
esc_ja4835aa_as,292,11,E
esc_ja4836aa_as,300,11,E
esc_ja4840aa_as,294,11,E
esc_ja4841aa_as,297,11,E
esc_ja4843aa_as,293,11,E
esc_ja4844aa_as,293,11,E
esc_ja4845aa_as,294,11,E
esc_ja4852aa_as,294,11,E
esc_ja4853aa_as,297,11,E
esc_ja4855aa_as,296,11,E
esc_ja4856aa_as,294,11,E
esc_ja4859aa_as,295,11,E
esc_ja4860aa_as,290,11,E
esc_ja4863aa_as,301,11,E
esc_ja4864aa_as,293,11,E
esc_ja4865aa_as,292,11,E
esc_ja4867aa_as,295,11,E
esc_ja5050aa_as,295,11,E
esc_ja5051aa_as,293,11,E
esc_ja5052aa_as,294,11,E
esc_ja5058aa_as,292,5560,E
esc_ja5063aa_as,295,11,E
esc_ja5066aa_as,295,11,E
esc_ja5067aa_as,293,11,E
esc_ja5069aa_as,295,11,E
esc_ja5071aa_as,291,11,E
esc_ja5079aa_as,293,11,E
esc_ja5084aa_as,292,11,E
esc_ja5085aa_as,292,11,E
esc_ja5087aa_as,296,11,E
esc_ja5089aa_as,295,11,E
esc_ja5093aa_as,294,11,E
esc_ja5096aa_as,294,11,E
esc_ja5097aa_as,293,11,E
esc_ja5099aa_as,293,11,E
esc_ja5101aa_as,291,11,E
esc_ja5102aa_as,294,11,E
esc_ja5109aa_as,294,11,E
esc_ja5116aa_as,293,11,E
esc_ja5117aa_as,291,11,E
esc_ja5118aa_as,297,11,E
esc_ja5119aa_as,293,11,E
esc_ja5121aa_as,293,11,E
esc_ja5122aa_as,293,11,E
esc_ja5125aa_as,291,11,E
esc_ja5129aa_as,295,11,E
esc_ja5135aa_as,293,11,E
esc_ja5137aa_as,294,11,E
esc_ja5275aa_as,295,11,E
esc_ja5276aa_as,295,11,E
esc_ja5278aa_as,298,11,E
esc_ja5280aa_as,294,11,E
esc_ja5282aa_as,291,11,E
esc_ja5283aa_as,295,11,E
esc_ja5292aa_as,295,11,E
esc_ja5295aa_as,294,11,E
esc_ja5297aa_as,294,11,E
esc_ja5392aa_as,294,11,E
esc_ja5393aa_as,293,11,E
esc_ja5400aa_as,298,11,E
esc_ja5403aa_as,293,11,E
esc_ja5412aa_as,292,11,E
esc_ja5415aa_as,292,11,E
esc_ja5416aa_as,294,11,E
esc_ja5417aa_as,293,11,E
esc_ja5419aa_as,295,11,E
esc_ja5420aa_as,295,11,E
esc_ja5465aa_as,294,1833,E
esc_ja5523aa_as,293,11,E
esc_ja5546aa_as,295,1833,E
esc_ja5568aa_as,297,11,E
esc_ja5570aa_as,293,11,E
esc_ja5572aa_as,295,11,E
esc_ja5591aa_as,293,11,E
esc_ja5592aa_as,297,11,E
esc_ja5595aa_as,291,11,E
esc_ja5602aa_as,295,1804,E
esc_ja7448aa_as,291,11,E
esc_ja7450aa_as,293,11,E
esc_ja7508aa_as,293,11,E
esc_ja7512aa_as,291,11,E
esc_ja7513aa_as,289,11,E
esc_ja7514aa_as,292,11,E
esc_ja7559aa_as,294,11,E
esc_ja7560aa_as,294,11,E
esc_ja7564aa_as,295,11,E
esc_ja7567aa_as,295,11,E
esc_ja7571aa_as,293,11,E
esc_ja7574aa_as,295,11,E
esc_ja7578aa_as,297,11,E
esc_ja7580aa_as,293,11,E
esc_ja7581aa_as,298,11,E
esc_ja7583aa_as,293,11,E
esc_ja7586aa_as,296,1833,E
esc_ja7587aa_as,294,11,E
esc_ja7588aa_as,293,11,E
esc_ja7593aa_as,292,11,E
esc_ja7597aa_as,294,11,E
esc_ja7598aa_as,294,11,E
esc_ja7599aa_as,292,11,E
esc_ja7626aa_as,294,11,E
esc_ja7627aa_as,290,11,E
esc_ja7630aa_as,291,11,E
esc_ja7635aa_as,293,11,E
esc_ja7638aa_as,295,11,E
esc_ja7643aa_as,294,11,E
esc_ja7644aa_as,293,11,E
esc_ja7646aa_as,290,11,E
esc_ja7649aa_as,295,11,E
esc_ja7650aa_as,295,11,E
esc_ja7652aa_as,294,11,E
esc_ja7653aa_as,291,11,E
esc_ja7655aa_as,293,11,E
esc_ja7657aa_as,293,11,E
esc_ja7659aa_as,293,11,E
esc_ja7660aa_as,292,7005,E
esc_ja7686aa_as,295,11,E
esc_ja7722aa_as,289,11,E
esc_ja7723aa_as,292,11,E
esc_ja7726aa_as,294,7007,E
esc_ja7738aa_as,291,11,E
esc_ja7745aa_as,292,11,E
esc_ja7750aa_as,293,11,E
esc_ja7782aa_as,296,11,E
esc_ja7784aa_as,297,11,E
esc_ja7788aa_as,294,7006,E
esc_ja7789aa_as,300,11,E
esc_ja7796aa_as,290,11,E
esc_ja7802aa_as,292,11,E
esc_ja7812aa_as,293,11,E
esc_ja7820aa_as,291,11,E
esc_ja7870aa_as,294,11,E
esc_ja7872aa_as,296,11,E
esc_ja7873aa_as,296,11,E
esc_ja7874aa_as,293,11,E
esc_ja7875aa_as,294,11,E
esc_ja7880aa_as,293,11,E
esc_ja7881aa_as,292,11,E
esc_ja7888aa_as,292,11,E
esc_ja7894aa_as,295,11,E
esc_ja7897aa_as,294,11,E
esc_ja7911aa_as,297,11,E
esc_ja7932aa_as,293,11,E
esc_ja7955aa_as,296,11,E
esc_ja7958aa_as,296,11,E
esc_ja7979aa_as,295,11,E
esc_ja7980aa_as,294,1804,E
esc_ja8000aa_as,293,11,E
esc_ja8016aa_as,294,1833,E
esc_ja8030aa_as,294,11,E
esc_ja8035aa_as,294,11,E
esc_ja8036aa_as,294,7007,E
esc_ja8045aa_as,292,11,E
esc_ja8064aa_as,295,11,E
esc_ja8107aa_as,293,11,E
esc_ja8131aa_as,293,11,E
esc_ja8152aa_as,293,11,E
esc_ja8155aa_as,294,11,E
esc_ja8221aa_as,292,11,E
esc_ja8271aa_as,296,11,E
esc_ja8281aa_as,292,11,E
esc_ja8300aa_as,293,11,E
esc_ja8318aa_as,296,11,E
esc_ja8321aa_as,293,11,E
esc_ja8323aa_as,297,11,E
esc_ja8347aa_as,293,11,E
esc_ja8351aa_as,293,11,E
esc_ja8391aa_as,292,11,E
esc_ja8392aa_as,296,11,E
esc_ja8394aa_as,293,11,E
esc_ja8398aa_as,296,11,E
esc_ja8405aa_as,291,11,E
esc_ja8432aa_as,294,11,E
esc_ja8458aa_as,287,11,E
esc_ja8471aa_as,290,11,E
esc_ja8473aa_as,294,11,E
esc_ja8477aa_as,296,11,E
esc_ja8484aa_as,297,11,E
esc_ja8533aa_as,293,11,E
esc_ja8550aa_as,294,11,E
esc_ja8683aa_as,293,11,E
esc_ja8745aa_as,292,11,E
esc_ja8748aa_as,293,11,E
esc_ja8831aa_as,295,11,E
esc_ja8832aa_as,293,11,E
esc_ja8834aa_as,293,11,E
esc_ja8924aa_as,290,11,E
esc_ja8930aa_as,292,11,E
esc_ja8935aa_as,294,11,E
esc_ja8943aa_as,294,11,E
esc_ja8980aa_as,294,11,E
esc_ja8981aa_as,292,11,E
esc_ja8989aa_as,293,11,E
esc_ja9009aa_as,293,11,E
esc_ja9012aa_as,295,11,E
esc_ja9017aa_as,295,11,E
esc_ja9021aa_as,294,11,E
esc_ja9026aa_as,294,11,E
esc_ja9062aa_as,293,11,E
esc_ja9083aa_as,297,11,E
esc_ja9087aa_as,295,11,E
esc_ja9173aa_as,293,11,E
esc_ja9180aa_as,291,11,E
esc_ja9220aa_as,293,11,E
esc_ja9233aa_as,294,11,E
esc_ja9240aa_as,287,11,E
esc_ja9254aa_as,292,11,E
esc_ja9282aa_as,293,11,E
esc_ja9283aa_as,291,6667,E
esc_ja9295aa_as,291,11,E
esc_ja9299aa_as,293,11,E
esc_ja9303aa_as,294,11,E
esc_ja9323aa_as,291,11,E
esc_ja9328aa_as,294,11,E
esc_ja9329aa_as,294,2966,E
esc_ja9335aa_as,295,11,E
esc_ja9371aa_as,292,11,E
esc_ja9375aa_as,293,11,E
esc_ja9376aa_as,296,11,E
esc_ja9381aa_as,295,2966,E
esc_ja9419aa_as,295,11,E
esc_ja9422aa_as,294,11,E
esc_ja9430aa_as,292,11,E
esc_ja9436aa_as,296,11,E
esc_ja9437aa_as,291,11,E
esc_ja9460aa_as,295,11,E
esc_ja9469aa_as,290,11,E
esc_ja9472aa_as,291,11,E
esc_ka0495aa_as,294,11,E
esc_ka0515aa_as,293,11,E
esc_ka0519aa_as,288,11,E
esc_ka0672aa_as,292,11,E
esc_ka0686aa_as,292,11,E
esc_ka0695aa_as,292,11,E
esc_ka0745aa_as,296,11,E
esc_ka1168aa_as,293,11,E
esc_ka1177aa_as,292,11,E
esc_ka1210aa_as,293,1595,E
esc_ka1218aa_as,290,11,E
esc_ka1221aa_as,293,11,E
esc_ka1227aa_as,291,11,E
esc_ka1232aa_as,292,11,E
esc_ka1289aa_as,290,11,E
esc_ka1290aa_as,293,11,E
esc_ka1344aa_as,296,11,E
esc_ka1346aa_as,292,11,E
esc_ka1432aa_as,291,11,E
esc_ka1582aa_as,296,11,E
esc_ka1583aa_as,292,11,E
esc_ka1933aa_as,294,11,E
esc_ka1994aa_as,290,11,E
esc_ka1996aa_as,295,11,E
esc_ka1997aa_as,294,11,E
esc_ka2004aa_as,296,11,E
esc_ka2148aa_as,294,11,E
esc_ka2150aa_as,295,11,E
esc_ka2161aa_as,297,11,E
esc_ka2162aa_as,295,11,E
esc_ka2164aa_as,292,11,E
esc_ka2166aa_as,295,11,E
esc_ka2181aa_as,292,11,E
esc_ka2185aa_as,297,11,E
esc_ka2190aa_as,293,7005,E
esc_ka2199aa_as,293,11,E
esc_ka2200aa_as,297,11,E
esc_ka3815aa_as,293,11,E
esc_ka3816aa_as,294,11,E
esc_ka3819aa_as,296,11,E
esc_ka3822aa_as,293,11,E
esc_ka3824aa_as,291,11,E
esc_ka3825aa_as,293,11,E
esc_ka3826aa_as,291,11,E
esc_ka3830aa_as,293,11,E
esc_ka3831aa_as,297,11,E
esc_ka3834aa_as,294,11,E
esc_ka3836aa_as,297,11,E
esc_ka3837aa_as,299,11,E
esc_ka3844aa_as,298,11,E
esc_ka3847aa_as,293,11,E
esc_ka3851aa_as,293,11,E
esc_ka3856aa_as,295,11,E
esc_ka3861aa_as,293,11,E
esc_ka3865aa_as,293,11,E
esc_ka3868aa_as,292,11,E
esc_ka3871aa_as,293,11,E
esc_ka3873aa_as,295,11,E
esc_ka3895aa_as,293,11,E
esc_ka3912aa_as,293,11,E
esc_ka3922aa_as,295,11,E
esc_ka3923aa_as,296,11,E
esc_ka3925aa_as,295,11,E
esc_ka3926aa_as,297,11,E
esc_ka3929aa_as,294,11,E
esc_ka3933aa_as,299,11,E
esc_ka3936aa_as,293,11,E
esc_ka3938aa_as,296,11,E
esc_ka3940aa_as,293,11,E
esc_ka3947aa_as,293,11,E
esc_ka3951aa_as,295,11,E
esc_ka3952aa_as,292,11,E
esc_ka3955aa_as,295,2966,E
esc_ka3957aa_as,294,11,E
esc_ka3958aa_as,296,11,E
esc_ka3965aa_as,295,11,E
esc_ka4251aa_as,299,11,E
esc_ka4261aa_as,294,11,E
esc_ka4578aa_as,292,11,E
esc_ka4586aa_as,293,11,E
esc_ka4588aa_as,293,11,E
esc_ka5246aa_as,294,11,E
esc_ka5253aa_as,296,11,E
esc_ka5266aa_as,296,11,E
esc_ka5289aa_as,292,11,E
esc_ka5292aa_as,292,11,E
esc_ka5294aa_as,290,11,E
esc_ka5585aa_as,293,11,E
esc_ka5588aa_as,292,11,E
esc_ka5590aa_as,295,11,E
esc_ka5593aa_as,293,11,E
esc_ka5595aa_as,297,11,E
esc_ka5597aa_as,293,11,E
esc_ka5621aa_as,292,11,E
esc_ka6745aa_as,295,11,E
esc_ka6747aa_as,295,11,E
esc_ka6748aa_as,290,11,E
esc_ka6751aa_as,294,2966,E
esc_ka6752aa_as,287,11,E
esc_ka6753aa_as,292,11,E
esc_ka6754aa_as,293,11,E
esc_ka6759aa_as,293,11,E
esc_ka6763aa_as,292,11,E
esc_ka6765aa_as,295,11,E
esc_ka6766aa_as,293,11,E
esc_ka6769aa_as,296,11,E
esc_ka6770aa_as,291,11,E
esc_ka6855aa_as,292,11,E
esc_ka6857aa_as,292,11,E
esc_ka6858aa_as,291,11,E
esc_ka6862aa_as,293,11,E
esc_ka6863aa_as,289,11,E
esc_la4413aa_as,284,11,E
esc_la4414aa_as,294,11,E
esc_la4419aa_as,296,11,E
esc_la4423aa_as,292,11,E
esc_la4424aa_as,295,11,E
esc_la4425aa_as,294,2966,E
esc_la4431aa_as,298,11,E
esc_la4432aa_as,298,11,E
esc_la4736aa_as,299,11,E
esc_la4762aa_as,296,11,E
esc_la4764aa_as,296,11,E
esc_la5457aa_as,297,7252,E
esc_la5461aa_as,296,11,E
esc_la5462aa_as,296,11,E
esc_la5463aa_as,296,11,E
esc_la5464aa_as,297,11,E
esc_la5465aa_as,297,7252,E
esc_la5466aa_as,296,11,E
esc_la5639aa_as,294,11,E
esc_la5640aa_as,298,11,E
esc_la5644aa_as,296,11,E
esc_la5645aa_as,295,11,E
esc_la5647aa_as,295,11,E
esc_la5648aa_as,295,11,E
esc_la5649aa_as,296,11,E
esc_la5805aa_as,294,11,E
esc_la6588aa_as,295,11,E
esc_la6589aa_as,295,11,E
esc_la6590aa_as,294,11,E
esc_la6591aa_as,295,11,E
esc_ma3109aa_as,297,11,E
esc_na8699aa_as,297,11,E
esc_na8701aa_as,301,11,E
esc_na9219aa_as,293,11,E
esc_na9220aa_as,296,11,E
esc_na9221aa_as,293,11,E
esc_oa1383aa_as,293,11,E
esc_oa1446aa_as,293,11,E
esc_oa1529aa_as,295,11,E
esc_pa0769aa_as,295,11,E
esc_pa0773aa_as,297,11,E
esc_pa0775aa_as,293,11,E
esc_pa1830aa_as,291,11,E
esc_pa1989aa_as,295,11,E
esc_pa2031aa_as,296,11,E
esc_pa2490aa_as,292,11,E
esc_pa2491aa_as,296,11,E
esc_pa2492aa_as,292,11,E
esc_pa2493aa_as,295,11,E
esc_pa2494aa_as,296,1804,E
esc_pa2495aa_as,291,11,E
esc_pa2496aa_as,292,11,E
esc_pa2497aa_as,297,11,E
esc_pa2498aa_as,295,11,E
esc_pa2501aa_as,291,11,E
esc_pa2502aa_as,289,11,E
esc_pa2503aa_as,296,11,E
esc_pa2504aa_as,296,11,E
esc_pa2505aa_as,293,11,E
esc_pa2506aa_as,295,11,E
esc_pa2508aa_as,296,11,E
esc_pa2509aa_as,297,11,E
esc_pa2513aa_as,292,11,E
esc_pa2514aa_as,296,11,E
esc_pa2515aa_as,293,11,E
esc_pa2516aa_as,291,11,E
esc_pa2518aa_as,298,11,E
esc_pa2519aa_as,290,11,E
esc_pa2520aa_as,291,11,E
esc_pa2521aa_as,297,11,E
esc_pa2522aa_as,293,11,E
esc_pa2523aa_as,295,11,E
esc_pa2525aa_as,296,11,E
esc_pa2526aa_as,292,11,E
esc_pa2527aa_as,291,11,E
esc_pa2528aa_as,291,11,E
esc_pa2529aa_as,292,11,E
esc_pa2530aa_as,292,11,E
esc_pa2531aa_as,297,11,E
esc_pa2532aa_as,296,11,E
esc_pa2534aa_as,292,11,E
esc_pa2535aa_as,293,1804,E
esc_pa2536aa_as,291,11,E
esc_pa2538aa_as,294,11,E
esc_pa2539aa_as,297,11,E
esc_pa2540aa_as,292,11,E
esc_pa2541aa_as,294,1833,E
esc_pa2542aa_as,290,11,E
esc_pa2544aa_as,292,11,E
esc_pa2685aa_as,295,11,E
esc_pa2686aa_as,293,11,E
esc_pa4866aa_as,292,11,E
esc_pa4869aa_as,294,11,E
esc_pa4870aa_as,294,7028,E
esc_pa4873aa_as,292,11,E
esc_pa4874aa_as,292,11,E
esc_pa4875aa_as,290,11,E
esc_pa4876aa_as,293,11,E
esc_pa4878aa_as,295,11,E
esc_pa4879aa_as,294,1833,E
esc_pa4883aa_as,293,11,E
esc_pa4884aa_as,292,11,E
esc_pa4887aa_as,291,11,E
esc_pa4888aa_as,293,11,E
esc_pa4890aa_as,296,11,E
esc_pa4891aa_as,300,11,E
esc_pa4892aa_as,294,11,E
esc_pa4895aa_as,297,11,E
esc_pa4899aa_as,295,11,E
esc_pa4900aa_as,295,11,E
esc_pa4901aa_as,294,11,E
esc_pa4902aa_as,295,11,E
esc_pa4903aa_as,292,11,E
esc_pa4904aa_as,295,11,E
esc_pa4905aa_as,295,11,E
esc_pa4906aa_as,293,11,E
esc_pa4908aa_as,295,11,E
esc_pa4910aa_as,295,11,E
esc_pa4911aa_as,288,11,E
esc_pa4912aa_as,295,11,E
esc_pa4913aa_as,295,11,E
esc_pa4914aa_as,292,11,E
esc_pa4915aa_as,295,11,E
esc_pa4917aa_as,293,11,E
esc_pa4918aa_as,295,11,E
esc_pa4919aa_as,294,11,E
esc_pa4921aa_as,294,11,E
esc_pa4922aa_as,295,11,E
esc_pa4923aa_as,295,11,E
esc_pa4924aa_as,296,11,E
esc_pa4925aa_as,295,11,E
esc_pa4926aa_as,295,11,E
esc_pa4927aa_as,299,11,E
esc_pa4928aa_as,294,11,E
esc_pa4929aa_as,295,11,E
esc_pa4930aa_as,293,11,E
esc_pa4931aa_as,291,11,E
esc_pa4932aa_as,296,11,E
esc_pa4934aa_as,295,11,E
esc_pa4935aa_as,293,11,E
esc_pa4936aa_as,292,11,E
esc_pa4937aa_as,292,11,E
esc_pa4939aa_as,295,11,E
esc_pa4940aa_as,295,11,E
esc_pa4941aa_as,293,11,E
esc_pa4942aa_as,293,11,E
esc_pa4944aa_as,295,11,E
esc_pa4946aa_as,295,11,E
esc_pa4948aa_as,292,11,E
esc_pa4949aa_as,292,11,E
esc_pa4950aa_as,295,11,E
esc_pa4951aa_as,293,11,E
esc_pa4954aa_as,301,11,E
esc_pa4955aa_as,295,11,E
esc_pa4956aa_as,292,11,E
esc_pa4958aa_as,292,11,E
esc_pa4959aa_as,292,11,E
esc_pa4960aa_as,295,11,E
esc_pa4989aa_as,295,11,E
esc_pa5038aa_as,292,11,E
esc_pa5039aa_as,292,11,E
esc_pa5040aa_as,292,11,E
esc_pa5041aa_as,290,11,E
esc_pa5042aa_as,293,11,E
esc_pa5043aa_as,292,11,E
esc_pa5044aa_as,294,11,E
esc_pa5045aa_as,290,11,E
esc_pa5046aa_as,294,11,E
esc_pa5047aa_as,295,11,E
esc_pa5048aa_as,293,11,E
esc_pa5049aa_as,291,11,E
esc_pa5050aa_as,292,11,E
esc_pa5051aa_as,297,11,E
esc_pa5052aa_as,294,11,E
esc_pa5053aa_as,292,11,E
esc_pa5055aa_as,294,11,E
esc_pa5057aa_as,291,11,E
esc_pa5058aa_as,292,11,E
esc_pa5059aa_as,292,11,E
esc_pa5060aa_as,293,11,E
esc_pa5061aa_as,292,11,E
esc_pa5062aa_as,291,11,E
esc_pa5063aa_as,292,11,E
